b_scan_name,hd_g1_g2,hd_g1_g3,hd_g2_g3,hd_g1_cnn,hd_g2_cnn,hd_g3_cnn
Eye7_5,0.0168,0.0278,0.0134,0.0121,0.0104,0.0177
Eye7_6,0.0171,0.0188,0.0130,0.0124,0.0122,0.0190
Eye7_7,0.0240,0.0346,0.0126,0.0172,0.0144,0.0227
Eye7_8,0.0115,0.0296,0.0262,0.0192,0.0149,0.0150
Eye7_9,0.0125,0.0162,0.0073,0.0123,0.0141,0.0152
Eye8_1,0.0212,0.0246,0.0071,0.0141,0.0201,0.0231
Eye8_10,0.0234,0.0320,0.0122,0.0163,0.0151,0.0202
Eye8_11,0.0064,0.0256,0.0245,0.0101,0.0082,0.0223
Eye8_12,0.0252,0.0255,0.0087,0.0143,0.0216,0.0211
Eye8_13,0.0181,0.0244,0.0086,0.0142,0.0141,0.0197
Eye8_14,0.0109,0.0277,0.0234,0.0131,0.0099,0.0205
Eye8_15,0.0161,0.0321,0.0198,0.0171,0.0094,0.0211
Eye8_16,0.0275,0.0392,0.0129,0.0221,0.0125,0.0214
Eye8_17,0.0207,0.0376,0.0189,0.0173,0.0109,0.0256
Eye8_18,0.0150,0.0188,0.0072,0.0124,0.0119,0.0147
Eye8_19,0.0312,0.0295,0.0071,0.0096,0.0252,0.0249
Eye8_2,0.0140,0.0221,0.0128,0.0125,0.0157,0.0233
Eye8_20,0.0289,0.0325,0.0069,0.0116,0.0243,0.0270
Eye8_21,0.0125,0.0381,0.0357,0.0155,0.0133,0.0253
Eye8_22,0.0120,0.0211,0.0241,0.0179,0.0095,0.0258
Eye8_23,0.0225,0.0285,0.0106,0.0106,0.0162,0.0211
Eye8_24,0.0299,0.0425,0.0163,0.0179,0.0186,0.0268
Eye8_25,0.0306,0.0433,0.0155,0.0223,0.0117,0.0234
Eye8_3,0.0321,0.0322,0.0121,0.0162,0.0229,0.0189
Eye8_4,0.0122,0.0333,0.0340,0.0112,0.0110,0.0276
Eye8_5,0.0235,0.0312,0.0093,0.0128,0.0200,0.0223
Eye8_6,0.0218,0.0235,0.0062,0.0168,0.0144,0.0140
Eye8_7,0.0285,0.0335,0.0106,0.0173,0.0196,0.0219
Eye8_8,0.0122,0.0252,0.0272,0.0106,0.0115,0.0233
Eye8_9,0.0160,0.0327,0.0185,0.0175,0.0085,0.0208
